time,similarity,gateways,collaborators
2019-05-05 23:41:52,0.893,6.0,3.0
2019-05-05 23:41:55,0.9359999999999999,9.0,6.0
2019-05-05 23:41:59,0.968,9.0,5.0
2019-05-05 23:42:02,0.985,8.0,6.0
2019-05-05 23:42:05,0.9740000000000001,10.0,6.0
2019-05-05 23:42:08,0.961,9.0,6.0
2019-05-05 23:42:10,0.9610000000000001,9.0,6.0
2019-05-05 23:42:13,0.954,9.0,6.0
2019-05-05 23:42:15,0.934,8.0,5.0
2019-05-05 23:42:16,0.912,8.0,5.0
2019-05-05 23:42:18,0.958,9.0,5.0
2019-05-05 23:42:19,0.904,8.0,6.0
2019-05-05 23:42:23,0.915,8.0,6.0
2019-05-05 23:42:26,0.64,8.0,6.0
2019-05-05 23:42:33,0.9490000000000001,9.0,6.0
2019-05-05 23:42:36,0.9890000000000001,9.0,6.0
2019-05-05 23:42:44,0.988,7.0,6.0
2019-05-05 23:42:48,0.948,7.0,6.0
2019-05-05 23:42:51,0.9129999999999999,8.0,6.0
2019-05-05 23:42:54,0.934,9.0,6.0
2019-05-05 23:43:01,0.9159999999999999,7.0,4.0
2019-05-05 23:43:07,0.9670000000000001,9.0,6.0
2019-05-05 23:43:09,0.995,8.0,6.0
2019-05-05 23:43:12,0.988,9.0,6.0
2019-05-05 23:43:16,0.941,5.0,3.0
2019-05-05 23:43:23,0.9209999999999999,6.0,3.0
2019-05-05 23:43:25,0.97,9.0,6.0
2019-05-05 23:43:29,0.914,9.0,5.0
2019-05-05 23:43:32,0.94,7.0,6.0
2019-05-05 23:43:35,0.9359999999999999,8.0,6.0
2019-05-05 23:43:37,0.915,10.0,6.0
2019-05-05 23:43:40,0.954,8.5,6.0
2019-05-05 23:43:43,0.9575,8.5,6.0
2019-05-05 23:43:45,0.938,10.0,5.0
2019-05-05 23:43:46,0.9359999999999999,8.0,6.0
2019-05-05 23:43:48,0.958,9.0,5.0
2019-05-05 23:43:49,0.915,9.0,6.0
2019-05-05 23:43:53,0.92,8.0,6.0
2019-05-05 23:43:56,0.9420000000000001,8.0,6.0
2019-05-05 23:44:03,0.9620000000000001,8.0,6.0
2019-05-05 23:44:06,0.941,10.0,6.0
2019-05-05 23:44:14,0.978,8.0,6.0
2019-05-05 23:44:18,0.948,7.0,6.0
2019-05-05 23:44:21,0.9229999999999999,7.0,6.0
2019-05-05 23:44:24,0.94,8.0,6.0
2019-05-05 23:44:31,0.893,6.0,4.0
2019-05-05 23:44:37,0.945,9.0,6.0
2019-05-05 23:44:39,0.975,7.0,6.0
2019-05-05 23:44:42,0.9890000000000001,8.0,6.0
2019-05-05 23:44:46,0.9,7.0,6.0
2019-05-05 23:44:52,0.722,7.0,3.0
2019-05-05 23:44:55,0.965,8.0,6.0
2019-05-05 23:44:59,0.9540000000000001,8.0,5.0
2019-05-05 23:45:02,0.955,6.0,6.0
2019-05-05 23:45:05,0.9640000000000001,9.0,6.0
2019-05-05 23:45:07,0.925,7.0,6.0
2019-05-05 23:45:10,0.9855,7.5,6.0
2019-05-05 23:45:13,0.9425,7.5,6.0
2019-05-05 23:45:15,0.925,9.0,5.0
2019-05-05 23:45:16,0.948,8.0,6.0
2019-05-05 23:45:18,0.9179999999999999,10.0,5.0
2019-05-05 23:45:19,0.9390000000000001,8.0,6.0
2019-05-05 23:45:23,0.968,10.0,6.0
2019-05-05 23:45:26,0.973,10.0,6.0
2019-05-05 23:45:33,0.966,8.0,6.0
2019-05-05 23:45:36,0.919,10.0,6.0
2019-05-05 23:45:44,0.986,8.0,6.0
2019-05-05 23:45:48,0.94,9.0,6.0
2019-05-05 23:45:51,0.945,8.0,6.0
2019-05-05 23:45:54,0.9279999999999999,9.0,6.0
2019-05-05 23:46:01,0.9109999999999999,7.0,4.0
2019-05-05 23:46:07,0.983,9.0,6.0
2019-05-05 23:46:09,0.927,9.0,6.0
2019-05-05 23:46:12,0.9620000000000001,9.0,6.0
2019-05-05 23:46:16,0.915,8.0,6.0
2019-05-05 23:46:23,0.955,9.0,4.0
2019-05-05 23:46:25,0.961,9.0,6.0
2019-05-05 23:46:29,0.9259999999999999,9.0,5.0
2019-05-05 23:46:32,0.9790000000000001,10.0,6.0
2019-05-05 23:46:35,0.9420000000000001,9.0,6.0
2019-05-05 23:46:38,0.9259999999999999,10.0,6.0
2019-05-05 23:46:40,0.982,10.0,6.0
2019-05-05 23:46:43,0.9490000000000001,9.0,6.0
2019-05-05 23:46:45,0.9329999999999999,9.0,5.0
2019-05-05 23:46:46,0.935,9.0,6.0
2019-05-05 23:46:48,0.943,10.0,5.0
2019-05-05 23:46:49,0.971,10.0,6.0
2019-05-05 23:46:53,0.892,9.0,6.0
2019-05-05 23:46:56,0.66,9.0,6.0
2019-05-05 23:47:03,0.9129999999999999,9.0,6.0
2019-05-05 23:47:06,0.943,8.0,6.0
2019-05-05 23:47:14,0.996,8.0,6.0
